timestamp,ambient_c,pump_vibration_mm_s,hvac_compressor_kw,solar_inverter_kw
2026-07-09 00:00,32.58,2.189,9.115,0.0
2026-07-09 00:01,32.59,2.173,8.842,0.093
2026-07-09 00:02,32.79,2.266,9.009,0.0
2026-07-09 00:03,32.47,2.331,8.878,0.0
2026-07-09 00:04,32.06,2.169,8.867,0.699
2026-07-09 00:05,32.47,2.225,9.1,0.0
2026-07-09 00:06,32.01,1.938,8.522,0.0
2026-07-09 00:07,32.58,2.078,9.158,0.0
2026-07-09 00:08,32.31,2.211,9.055,0.511
2026-07-09 00:09,32.54,2.248,8.702,0.0
2026-07-09 00:10,32.45,2.175,9.558,0.0
2026-07-09 00:11,32.43,2.342,9.001,0.669
2026-07-09 00:12,32.27,2.058,8.635,0.762
2026-07-09 00:13,32.19,2.225,8.672,0.579
2026-07-09 00:14,32.77,2.262,8.788,0.0
2026-07-09 00:15,32.36,2.143,8.804,0.599
2026-07-09 00:16,31.98,2.016,8.368,0.0
2026-07-09 00:17,32.35,2.198,8.902,0.134
2026-07-09 00:18,32.32,2.227,8.509,0.723
2026-07-09 00:19,32.4,2.197,9.426,0.0
2026-07-09 00:20,32.19,2.148,8.43,0.0
2026-07-09 00:21,32.43,2.269,8.137,0.569
2026-07-09 00:22,32.09,2.137,8.732,1.38
2026-07-09 00:23,32.03,2.336,8.577,0.0
2026-07-09 00:24,31.81,2.222,8.27,0.708
2026-07-09 00:25,32.66,2.228,9.341,0.0
2026-07-09 00:26,32.14,2.375,8.244,0.792
2026-07-09 00:27,32.45,2.271,8.873,0.0
2026-07-09 00:28,32.01,2.181,9.311,0.0
2026-07-09 00:29,31.57,2.16,8.626,0.659
2026-07-09 00:30,32.01,2.088,8.84,0.414
2026-07-09 00:31,31.85,2.313,8.673,0.56
2026-07-09 00:32,32.22,2.229,9.424,0.195
2026-07-09 00:33,32.05,2.348,8.754,0.416
2026-07-09 00:34,31.94,2.027,8.769,0.184
2026-07-09 00:35,32.22,2.261,8.478,0.415
2026-07-09 00:36,31.59,2.245,8.543,0.0
2026-07-09 00:37,32.09,2.142,8.851,0.812
2026-07-09 00:38,31.99,2.2,9.376,0.0
2026-07-09 00:39,31.83,2.19,9.212,0.0
2026-07-09 00:40,31.91,2.235,8.52,0.0
2026-07-09 00:41,31.92,2.22,8.04,1.602
2026-07-09 00:42,32.38,2.099,8.923,2.532
2026-07-09 00:43,31.49,2.145,8.665,0.555
2026-07-09 00:44,31.85,2.04,8.518,0.992
2026-07-09 00:45,31.43,2.196,8.919,1.701
2026-07-09 00:46,32.0,2.076,8.446,0.038
2026-07-09 00:47,32.06,2.152,8.377,0.0
2026-07-09 00:48,31.98,1.969,8.593,0.36
2026-07-09 00:49,31.9,2.3,8.545,0.0
2026-07-09 00:50,32.19,2.299,8.914,2.664
2026-07-09 00:51,31.94,2.231,8.611,1.853
2026-07-09 00:52,31.49,2.16,8.651,0.627
2026-07-09 00:53,31.17,2.009,8.387,0.0
2026-07-09 00:54,31.53,2.078,7.929,0.263
2026-07-09 00:55,31.97,2.279,8.631,1.079
2026-07-09 00:56,31.52,2.148,8.355,0.0
2026-07-09 00:57,31.72,2.164,8.389,0.297
2026-07-09 00:58,31.75,2.149,8.434,0.0
2026-07-09 00:59,31.6,2.206,9.113,0.755
2026-07-09 01:00,31.49,2.267,8.179,0.25
2026-07-09 01:01,31.47,2.4,8.685,0.0
2026-07-09 01:02,31.56,2.2,8.687,0.312
2026-07-09 01:03,31.23,2.277,8.819,1.523
2026-07-09 01:04,31.08,2.277,7.804,1.291
2026-07-09 01:05,31.3,2.401,8.647,0.0
2026-07-09 01:06,31.39,2.211,8.347,1.099
2026-07-09 01:07,31.54,2.381,8.29,0.169
